,vip,title,year,kms,city,province,transmission,price,age,age_sq,year_norm,year_norm_sq,kms_norm,kms_norm_sq,10th Quantile,50th Quantile,90th Quantile,cheap,expensive
112,29235006,2017 Mitsubishi RVR ES Low KMS!!,2017.0,103472.0,Lethbridge,AB,Manual,18500.0,6.0,36.0,0.06,0.0036,103.472,10706.454784,16418.375160703385,20153.764702059518,22643.61114407263,False,False
113,29299763,2019 Mitsubishi RVR GT Premium,2019.0,44556.0,Charlottetown,PE,Automatic,25995.0,4.0,16.0,0.08,0.0064,44.556,1985.2371359999997,20283.596044062477,25159.236864902294,28538.676460273608,False,False
114,29263518,2023 Mitsubishi RVR SE AWC,2023.0,0.0,Kentville,NS,Automatic,31298.0,0.0,0.0,0.12,0.0144,0.0,0.0,28447.999999999996,32858.57547706862,38826.46188927402,False,False
115,28458903,2021 Mitsubishi RVR,2021.0,66600.0,Calgary,AB,,26473.0,2.0,4.0,0.1,0.010000000000000002,66.6,4435.5599999999995,24969.329412485327,27944.218938822305,31890.48875156698,False,False
116,29308395,2016 Mitsubishi RVR SE LIMITED EDITION AWD AUTO SIÈGE CAMERA 83 990 KM,2016.0,83990.0,Lévis,QC,Automatic,19995.0,7.0,49.0,0.05,0.0025000000000000005,83.99,7054.320099999999,14766.346765070446,19167.736144702896,21609.43169532851,False,False
117,29108415,"2014 Mitsubishi RVR GT AWD, GLASS ROOF",2014.0,209000.0,West St. Paul,MB,Automatic,13750.0,9.0,81.0,0.03,0.0009,209.0,43681.0,7295.6677008781735,10820.475839397815,13889.308198402312,False,False
118,29239694,2023 Mitsubishi RVR ES FWD,2023.0,0.0,Kentville,NS,Automatic,26148.0,0.0,0.0,0.12,0.0144,0.0,0.0,28447.999999999996,32858.57547706862,38826.46188927402,True,False
119,29232322,2023 Mitsubishi RVR ES,2023.0,0.0,Calgary,AB,Automatic,30618.0,0.0,0.0,0.12,0.0144,0.0,0.0,28447.999999999996,32858.57547706862,38826.46188927402,False,False
120,29037843,2017 Mitsubishi RVR SE,2017.0,82512.0,Timmins,ON,Automatic,19977.0,6.0,36.0,0.06,0.0036,82.512,6808.230144,16576.09387351655,20831.240390638268,23401.79844150525,False,False
121,28997123,2013 Mitsubishi RVR,2013.0,146000.0,-,SK,,9000.0,10.0,100.0,0.02,0.0004,146.0,21316.0,8930.912100296231,12185.09939154171,14722.684777053491,False,False
